Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Extracted_Entities
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,HOOD WIRING,0.0,300.0,COMPLAINT SUDDENLY EXCESSIVE HEAT UP CAUSE ENGINE FAN FAULTY CONTACTS CORRECTION VEHICLE TRANSPORTATION,"[('COMPLAINT', 'ORG'), ('FAULTY CONTACTS CORRECTION', 'ORG')]"
PARTICULATE TRAP,"DIRT,FOREIGN MATTERS",CATALYTIC SILENCER,0.0,137.837838,"INCIDENT  EDC LIGHT ON, LOSS OF POWER  CAUSE PARTICLE FILTER IS NOT REGENERATED  SOLUTION  ESTABLISH DIAG READING FAILURES FORCED REGENERATION 
CLEAR TROUBLES TEST",[]
CHASSIS LOOM,DEFECT,SET OF WIRING,0.0,44.0,"COMPLAINT Pneumantic suspension light is on. CAUSE Connection to the air compressor was not locked CORRECTION Searched for the problem. Checked the relay, fuses and current from 
the module. Found that the connector that goes through the air 
compressor box was not locked","[('COMPLAINT', 'ORG')]"
NOX DETECTION SENSOR,DEFECT,SENSOR,1.0,193.29,"COMPLAINT fault engine and ad blue, lack of power CAUSE Defective nox sensor CORRECTION replace nox sensor","[('COMPLAINT', 'ORG'), ('CAUSE Defective', 'NORP'), ('sensor', 'DEFECTIVE_PART'), ('CORRECTION', 'PERSON'), ('sensor', 'DEFECTIVE_PART')]"
ANS 24 HOURS,MISCELLANEOUS,LEVEL SENSOR,0.0,104.842105,"COMPLAINT  Travel time to i 
from workplace 83KM CPRZ  Travel time to i 
from work 83KM KORECTA  Travel time to i 
from work place 83KM","[('COMPLAINT  Travel', 'ORG'), ('83KM', 'CARDINAL'), ('83KM', 'CARDINAL'), ('83KM', 'CARDINAL')]"
REAR VAN DOORS,CRACKED,DOOR REAR,9.0,1868.38,"REKL  Right rear door torn - hinges stuck/blocked  REASON Rear door on the right torn - hinges stuck/blocked  CORRECTION  Right rear door and hinges, paint, 
Re-cut/make the rear door panel, adjust it, 
mount","[('REKL  Right', 'ORG'), ('CORRECTION  ', 'ORG')]"
BRAKE ADJUSTER,BLOCKAGE,KIT,2.0,562.17,"DAMAGE TYPE  PARKING BRAKE FAULT LIGHT ON CAUSE  POOR EFFICIENCY (DOES NOT HOLD) + CHECKS PERFORMED 
AS PER KA000004440 AND REGISTERED 
PARKING BRAKE SHOES AS PROCEDURE 
INDICATED BY KA000004435 CORRECTION  S-R 2 PARKING BRAKE ADJUSTMENT DEVICES + REPLACEMENT 
JAWS + DIAGNOSIS","[('KA000004435 CORRECTION  S-R 2', 'PERSON')]"
CONNECTION UNIT,CRACKED,HOOD WIRING,0.0,54.965518,"COMPLAINT Under bonnet fuse board broken away. CAUSE Checked over and found bracket securing fuse board cracked. CORRECTION Cleaned up area, repaired and secured fuse board.","[('COMPLAINT', 'ORG'), ('CORRECTION Cleaned', 'PERSON')]"
GEAR 3 SPEED,DEFECT,SPLITTER GEAR,1.0,1761.955789,"COMPLAINT  The problem with 2nd and 3rd gear is grinding when engaging

WPA:107711118 CPRZ  We confirm grinding noises in 2nd and 3rd gear. The box was dismantled. 
Damaged 3rd gear wheel, damaged 1/2 and 3/4 shifter and 
bearings. Total damage to the box

 CORRECTION  GEARBOX REPLACEMENT + DEFECT ASSESSMENT + SHAFT D.M 
DRIVING","[('COMPLAINT', 'ORG'), ('2nd', 'ORDINAL'), ('3rd', 'ORDINAL'), ('2nd', 'DATE'), ('3rd', 'ORDINAL'), ('3rd', 'ORDINAL'), ('1/2', 'CARDINAL'), ('3/4', 'CARDINAL'), ('bearings', 'DEFECTIVE_COMPONENT'), ('CORRECTION', 'PERSON')]"
ELECTRIC AIR COMPRESSOR,NOISE,EXCHANGE AIR COMPR.,1.0,962.89, REKL  GRINDING NOISE WHEN ACTUATING THE AIR SUSPENSION   REASON COMPRESSOR INTERNAL DEFECT   CORRECTION  INSPECTION OF AIR SUSPENSION AND REPLACEMENT OF COMPRESSOR,"[('NOISE', 'TYPE_OF_FAILURE')]"
AD-BLUE METERING DEV MODU,DEFECT,NOZZLE,1.0,97.227368, COMPLAINT  WHITE MAINTENANCE ON THE EXHAUST   CPRZ DEFECTIVE ADBLUE INJECTOR   CORRECTION  ADBLUE INJECTOR REPLACEMENT,"[('COMPLAINT', 'ORG')]"
PROP-SHAFT SUPPORT ASSY,DEFECT,PROP.SHAFT CARRIER,0.0,17.5,COMPLAIN  Gimbal fell CAUSE  Towing the vehicle - the gimbal holder and the gimbal itself were found to be fallen  CORRECTION  Fixed gimbal mounting,"[('COMPLAIN', 'ORG')]"
EGR VALVE,LOW OUTPUT/EFFICIENCY,EGR VALVE,21.0,1870.68,"INCIDENT  ENGINE LIGHT CAME ON THEN WENT OFF  CAUSE POOR EGR VALVE PERFORMANCE  SOLUTION  DIAGNOSIS, ELECTRICAL CONTROLS, THD 106061986, 
PROGRAMMING, REPLACE EGR VALVE. EXCEPT SCALE 
6.40H TOTAL: 1.20H FOR EXTENDED DYN AMIC TEST 
TO RECREATE FAILURE, 1 HOUR FOR DYNAMIC TEST AFTER 
ENGINE CENTRAL UPDATE, 0.40H FOR ENGINE TEST 
AFTER ENGINE CONTROL UPDATE, 2.80H FOR 
ELECT AND MECHANIC RESEARCH RANDOM FAILURE AND 1H 
FOR DYNAMIC TEST AFTER VALVE REPLACEMENT 
EGR ( )","[('INCIDENT  ENGINE LIGHT CAME ON', 'ORG'), ('CAUSE', 'ORG'), ('EGR VALVE', 'PERSON'), ('DIAGNOSIS', 'ORG'), ('106061986', 'DATE'), ('PROGRAMMING', 'ORG'), ('EGR VALVE', 'PERSON'), ('6.40H', 'CARDINAL'), ('1.20H', 'CARDINAL'), ('1 HOUR', 'TIME'), ('DYNAMIC', 'PERSON'), ('2.80H', 'CARDINAL'), ('1H', 'CARDINAL'), ('EGR', 'PERSON')]"
SENSOR,DEFECT,SENSOR,1.0,350.98," REKL  VARIOUS ERROR MESSAGES ABS AEBS & POWER STEERING ACTIVE   REASON VARIOUS ERROR MESSAGES ABS AEBS & POWER STEERING ACTIVE: WHEEL SPEED SENSOR VA LEFT DEFECTIVE  CORRECTION  VARIOUS ERROR MESSAGES ABS AEBS & POWER STEERING ACTIVE: WHEEL SPEED SENSOR FRONT LEFT DEFECTIVE. DAMAGE FINDINGS DETERMINED, DEFECTIVE WHEEL ROTATION NUMBER SENSOR REPLACED. ADDITIONAL EFFORT WHEEL A/E AND SENSOR REMOVED","[('AEBS & POWER STEERING ACTIVE   ', 'ORG'), ('AEBS & POWER STEERING', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('CORRECTION', 'PERSON'), ('AEBS & POWER STEERING', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('DAMAGE FINDINGS DETERMINED', 'PERSON'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART')]"
INPUT SHAFT,BREAK,BALL BEARING,1.0,-1338.988814, DAMAGE TYPE  FAILUREDESCR  CAUSE  CAUSEDESCR   CORRECTION CORRECTIONDESCR,[]
WINDOW REGULATOR SWITCH,DEFECT,SWITCHGEAR,1.0,68.33, CLAIM  Driver's window control does not work   CAUSE internal switch defect  SOLUTION D-M LEFT DOOR WINDOW SWITCH,"[('CLAIM', 'PERSON'), ('Driver', 'ORG'), ('CAUSE', 'ORG')]"
PRESSURE SENSOR,DEFECT,DPF PRESSURE SENSOR,1.0,155.67, DAMAGE TYPE  VEHICLE IN POWER REDUCTION   CAUSE DPF PRESSURE SENSOR   CORRECTION REPLACEMENT . SENSOR,"[('VEHICLE IN POWER REDUCTION', 'ORG'), ('CAUSE', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART')]"
SUSP.LOWER/TOP TIE-RODS,NOISE,SPRING SLEEVE,0.0,483.3," REKL  Creaking noise from the wishbone bushings in the front axle support.  REASON  Insufficient greasing.  CORRECTION  Lower wishbones on both sides a-e, bushings a-e, bearing seat cleaned and greased.","[('noise', 'TYPE_OF_FAILURE'), ('CORRECTION', 'PERSON')]"
WATER PUMP ASSEMBLY,DEFORMED,WATER PUMP HOUSING,2.0,228.046491,"TEMPERATURE  there is noise in the front. FROM WHERE  During the service check, the vehicle's circulation bearing was deformed and 
It was seen making noise. PROCEDURE  changed. The fault was fixed. Antifreeze was added for 600 TL within the service.","[('noise', 'TYPE_OF_FAILURE'), ('noise', 'TYPE_OF_FAILURE'), ('600', 'CARDINAL'), ('TL', 'ORG')]"
ELECTRIC ACTUATOR,COLLAPSED,KIT,1.5,482.09," REKL  PARKING BRAKE MALFUNCTION, ERROR MESSAGE   REASON PARKING BRAKE IS ADJUSTED, VALUES AND PATHS ARE NO LONGER CORRECT  CORRECTION  TROUBLESHOOTING PARKING BRAKE. SYSTEM DIAGNOSIS WITH EASY. DATA, ENTRY AND PARAMETERS COLLECTED AND EVALUATED. ACTIVE DIAGNOSTIC WITH EASY. BAKING AND FUNCTION TESTED, BASIC SETUP","[('BRAKE', 'ORG'), ('DATA', 'ORG'), ('FUNCTION', 'ORG'), ('BASIC SETUP', 'ORG')]"
OIL DRAIN PLUG,BREAK,WASHER,2.0,66.89,"INCIDENT  MAINTENANCE EO M1 / ​​ENGINE OIL LEAK  CAUSE MAINTENANCE EO M1 / ​​SEAL BREAKAGE CAP JOINT 
OIL PAN SOLUTION  MAINTENANCE EO M1 GO LEAK CHECK / ENGINE WASH / 
OIL PAN PLUG GASKET REPLACEMENT","[('INCIDENT', 'ORG'), ('LEAK', 'PERSON'), ('PAN SOLUTION  ', 'PERSON'), ('MAINTENANCE EO M1 GO LEAK CHECK', 'PERSON')]"
SIDE COVERING,BREAK,PROTECTION,2.0,76.54, DAMAGE TYPE  BREAKING OF THE LEFT WHEEL ARCH COVERINGS  CAUSE  BROKEN UPPER AND LOWER LEFT SIDE PLASTIC COVERINGS   CORRECTION  SUB. 2 FRONT WHEEL ARCH COVERINGS. SX,"[('CAUSE', 'ORG'), ('SUB', 'ORG'), ('2', 'CARDINAL'), ('FRONT', 'ORG')]"
"PRESS SENSOR, COOLING SYS",BREAK,SWITCH,1.0,67.26,COMPLAINT  CHECK FAULT CAUSE  PRESSURE SENSOR WITH BREAKAGE  FIX REPLACE SENSOR,"[('COMPLAINT  CHECK', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART')]"
CAB REARVIEW MIRROR,LOOSE RETAINER,REAR MIRROR LEFT,1.0,189.487696," COMPLAINT  LEFT REARVIEW MIRROR VIBRATIONS   CPRZ THE CAUSE OF THE FAULT WAS EXCESSIVE PLAY ON THE MIRROR ARM, NO MECHANICAL DAMAGE  CORRECTION  INSPECTION, ADJUSTMENT TEST, REPLACEMENT OF THE MIRROR","[('COMPLAINT  LEFT', 'ORG')]"
DISPLAY,DEFECTIVE CONTACTS,RADIO,0.0,35.7, INCIDENT  RADIO PROBLEM  CAUSE  DEFECTIVE CONTACTS   SOLUTION DIAG CHECK AND RESEARCH FOR RADIO PROBLEM REMOVAL REHABILITATION CONNECTION CONDITION AND TESTING,"[('PROBLEM', 'ORG'), ('CAUSE', 'ORG'), ('DEFECTIVE CONTACTS', 'ORG')]"
PRESSURE SENSOR,DEFECT,DPF PRESSURE SENSOR,3.0,177.48,"DAMAGE TYPE  ENGINE FAILURE LIGHT ON CAUSE  DEFECTIVE PRESSURE SENSOR AND PIPES, CLOGGED DPF  CORRECTION INJECTION CHECK, DIAGNOSIS, EXHAUST CHECK, 
SENSOR AND PIPES REPLACEMENT, CANCELLATION 
ERRORS, RESETTING OF PARAMETERS, RESUME OF FIXING 
EXHAUST PIPES, FORCED VEHICLE REGENERATION, 
VEHICLE TEST ON THE ROAD","[('CAUSE', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('CLOGGED', 'ORG'), ('CORRECTION INJECTION CHECK', 'PERSON'), ('DIAGNOSIS', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('CANCELLATION', 'GPE')]"
FLANGE SEAL,DEFECT,SHAFT SEAL,1.0,50.409449, COMPLAINT  CHECKED OIL LEAKS IN THE DIFFERENTIAL AREA  CAUSE DIFFERENTIAL GROUP SIMERING FAULT  CORRECTION DIFFERENTIAL SIMERING REPLACEMENT,"[('COMPLAINT  CHECKED', 'ORG'), ('CAUSE DIFFERENTIAL GROUP SIMERING FAULT  ', 'ORG')]"
FUEL INLET PIPE,FUEL LEAKS,FUEL LINE,1.0,89.95, REKL  VEHICLE GOT HOT AND WILL NO LONGER START   REASON FAN TENSIONER PULLEY GOT TOO HOT- ROLLERS BLOCKED - BELT TORN AND COOLANT HOSE AND DIESEL LINE TO TANK DAMAGED - TORN - VEHICLE NO LONGER DRIVABLE   CORRECTION DIESEL LINE FROM TANK TO ENGINE RENEWED - SYSTEM BLEEDED AND CHASSIS CLEANED,"[('VEHICLE GOT HOT', 'ORG'), ('COOLANT HOSE', 'PERSON')]"
INJECTION PUMP ASSY,DEFECT,HIGH PRESSURE PUMP,10.0,2718.532439,"COMPLAINT  SHARPS IN THE ENTIRE INJECTION SYSTEM, PUMP CLEARED 
HIGH PRESSURE THD 106633416 CPRZ  HIGH PRESSURE PUMP THD 106633416  CORRECTION REPLACEMENT OF HIGH PRESSURE PUMP, INJECTORS, 
FUEL PUMPS, HIGH PRESSURE RAILS","[('COMPLAINT', 'ORG'), ('PUMP', 'ORG'), ('106633416', 'DATE'), ('106633416', 'DATE')]"
THROTTLE BODY,DEFECT,VALVE HOUSING,2.0,250.98, CLAIM  UNSTABLE MOTOR  CAUSE  DEFECT IN TVA   SOLUTION PREPARATION OF THE U.D.T. STATION EDC SYSTEM DIAGNOSIS D-M ENGINE AIR FILTER ASSEMBLY D-M THROTTLE BODY,"[('UNSTABLE MOTOR  CAUSE  DEFECT IN', 'ORG'), ('TVA', 'ORG')]"
ANS 24 HOURS,MISCELLANEOUS,HYDRAULIC LINE,0.0,216.346155,"REKL  Breakdown, can't get into gear, stands at the 
Pfingstweidstrasse, 8048 Zurich, Tel. Chauffeur 079 120 53 14 GRUND  Machine oil lines leaking  CORRECTION Distance to the breakdown site approx. 15 minutes, 13 km away - from Auto AG 
Limmattal to Pfingstweidstrasse","[('Breakdown', 'PERSON'), ('Pfingstweidstrasse', 'ORG'), ('8048', 'DATE'), ('Zurich', 'GPE'), ('Tel', 'PERSON'), ('Machine', 'ORG'), ('CORRECTION Distance', 'ORG'), ('15 minutes', 'TIME'), ('13 km', 'QUANTITY'), ('Auto AG', 'ORG'), ('Pfingstweidstrasse', 'ORG')]"
"COLLARS,HOSES,SLEEVES",BREAK,RUBBER SLEEVE,3.0,102.818947," COMPLAINT  LEAK FROM TURBINE HOSE, BROKEN INTERCOOLER HOSE, REPLACEMENT OF INTERCOOLER HOSE   CPRZ LEAK FROM TURBINE PIPE , BROKEN INTERCOOLER HOSE, REPLACEMENT OF INTERCOOLER HOSE  CORRECTION ","[('COMPLAINT  LEAK', 'ORG'), ('HOSE', 'PERSON'), ('BROKEN INTERCOOLER HOSE', 'ORG'), ('BROKEN INTERCOOLER HOSE', 'ORG')]"
BEARINGS,TOO LOOSE/FLEXIBLE,SPRING LOCKWASHER,8.0,412.618946,"COMPLAINT  RUMBLING NOISE FROM THE FRONT WHEELS WHILE DRIVING FROM 
SPEEDS 50 KM/H CPRZ  PLAY IN FRONT AXLE WHEEL HUB BEARINGS  CORRECTION REPLACEMENT OF BEARINGS","[('COMPLAINT  RUMBLING', 'ORG'), ('NOISE', 'TYPE_OF_FAILURE'), ('50', 'CARDINAL'), ('KM/H', 'ORG'), ('BEARINGS', 'DEFECTIVE_COMPONENT'), ('BEARINGS', 'DEFECTIVE_COMPONENT')]"
ANS 24 HOURS,MISCELLANEOUS,PUMP,0.0,742.88,"DAMAGE TYPE  DOSSIER NO. 8001790020 CAUSE  DOSSIER NO. 8001790020 CORRECTION  OFF-SITE RESCUE FOR 2 PEOPLE AT NIGHT TIME 
FROM 7.00 PM TO 10.30 PM. (3.5hr X 2)XT RATE - M/D 
MAIN DRAWBACK","[('2', 'CARDINAL'), ('7.00 PM TO 10.30 PM', 'TIME'), ('MAIN', 'ORG')]"
DOOR CONN. FIXED PART,DEFECTIVE CONTACTS,CONNECTION,1.0,31.68, DAMAGE TYPE  LIGHTS DO NOT TURN ON WHEN I OPEN THE SIDE DOOR   CAUSE SIDE DOOR CONNECTION   CORRECTION  SIDE DOOR CONNECTION REPLACEMENT,"[('CAUSE', 'ORG')]"
DOOR CONN. FIXED PART,SHORT CIRCUIT,CONNECTION,2.0,212.96, REKL  CENTRAL LOCKING O-F   REASON CENTRAL LOCKING O-F ++++ CONNECTION SLIDING DOOR DOOR SIDE HAVE SHORT CIRCUIT   CORRECTION  CENTRAL LOCKING O-F ++++ CONNECTION SLIDING DOOR DOOR SIDE HAVE SHORT CIRCUIT REPLACE,"[('CIRCUIT', 'ORG'), ('CIRCUIT', 'ORG')]"
"PRESS SENSOR, COOLING SYS",DEFECT,SWITCH,1.0,109.669473,COMPLAINT  DAMAGED LIQUID PRESSURE SENSOR CAUSE  BREAK IN THE ELECTRICAL CIRCUIT OF THE HEAD SENSOR  CORRECTION EXCHANGE COOLANT PRESSURE SENSOR,"[('COMPLAINT', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART'), ('CORRECTION EXCHANGE', 'ORG'), ('SENSOR', 'DEFECTIVE_PART')]"
PIPES,AIR LEAKS,HOSE,1.0,139.24,"REKL  Loss of power -> Error message: ""Have the engine checked""  REASON DPF particle quantity too high  CORRECTION  Guided procedure including forced regeneration carried out -> 
Differential pressure line replaced!","[('REKL  Loss', 'ORG'), ('CORRECTION  Guided', 'ORG')]"
CROWN WHEEL AND PINION,NOISE,REAR AXLE/I,1.0,-999.181053, DAMAGE TYPE  FAILUREDESCR  CAUSE  CAUSEDESCR   CORRECTION CORRECTIONDESCR,[]
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,ELECTR. CONTR. UNIT,0.0,442.528736,COMPLAINT TOW CAUSE TOW CORRECTION TOW,"[('COMPLAINT TOW CAUSE TOW CORRECTION TOW', 'ORG')]"
ANS 24 HOURS,MISCELLANEOUS,DELIVERY LINE,0.0,266.25, REKL  OUTDOOR INSTALLATION SEELZE LOCATION   REASON VEHICLE IS IN EMERGENCY MODE   CORRECTION  PERFORM INSTALLATION AND ERROR ANALYSIS ON SITE; VEHICLE UNLOCKED FOR TRANSFER TO THE WORKSHOP; VEHICLE ACCOMPANIED TO THE WORK PLACE,"[('CORRECTION', 'PERSON'), ('VEHICLE UNLOCKED', 'ORG'), ('VEHICLE ACCOMPANIED', 'ORG')]"
AD-BLUE METERING DEV MODU,DEFECTIVE CONTACTS,NOZZLE,1.0,227.77, REKL  Engine control lights up permanently   REASON AdBlue dosing module defective   CORRECTION  Module replace,"[('CORRECTION  Module', 'ORG')]"
AD-BLUE METERING DEV MODU,DEFECT,CLIP,1.0,439.6,"DAMAGE TYPE  The vehicle loses power - I¢ and II¢ urea dispenser oxidized, ecm software 
obsolete - Diagnosis, details for system restoration CAUSE  I¢ and II¢ urea dispenser oxidized, obsolete ecm software  CORRECTION  Diagnosis, details for system restoration","[('I¢', 'PRODUCT'), ('CORRECTION  Diagnosis', 'ORG')]"
BELT TENSIONER BEARING,SEIZURE,BELT TENSIONER,1.0,40.17897,COMPLAINT  WATER PUMP BELT ROLLER LOOSE/EP3/  CPRZ WORN ROLLER BEARING  CORRECTION  REPLACEMENT OF THE TENSIONER,"[('COMPLAINT  WATER PUMP BELT ROLLER LOOSE/EP3/', 'ORG')]"
ANS 24 HOURS,MISCELLANEOUS,RUBBER SLEEVE,0.0,164.942529, COMPLAINT BRD  CAUSE BRD  CORRECTION BRD,"[('COMPLAINT BRD  CAUSE BRD', 'ORG'), ('CORRECTION BRD', 'ORG')]"
INJECTOR DELIVERY PIPES,INCORRECT ADJUSTMENT,HYDRAULIC CYLINDER,2.0,796.06,"COMPLAIN  Car stopped while driving. Towed to workshop.
ANS 8001817889. CAUSE  Troubleshooting fuel pressure sensor error.  CORRECTION  Troubleshooting cables to fuel pressure sensor. Fuel pressure sensor faulty. Change 
sensor, Replaced only complete with rail tube.","[('CAUSE', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('CORRECTION', 'PERSON'), ('sensor', 'DEFECTIVE_PART'), ('sensor', 'DEFECTIVE_PART'), ('sensor', 'DEFECTIVE_PART')]"
EGR HEAT EXCHANGER,CRACKED,HEAT EXCHANGER,4.0,2442.44,"CLAIM  REV LOSS OF COOLANT CAUSE  ANTIFREEZE LEAK FROM EGR COOLER  SOLUTION DISASSEMBLE AND INSTALL CHANGE TO BE ABLE TO REPLACE 
EGR COOLER, GASKETS AND ACCESSORIES, ASSEMBLE EVERYTHING AND 
WARM UP ENGINE NO LEAKS OK","[('CLAIM', 'PERSON'), ('DISASSEMBLE', 'ORG'), ('GASKETS', 'ORG')]"
BATTERY,DEFECTIVE CONTACTS,BATTERY,1.0,294.16," DAMAGE TYPE  VEHICLE DOES NOT START AFTER PARKING   CAUSE VEHICLE DOES NOT TURN ON   CORRECTION  BATTERY TEST, CHARGING, BATTERY TEST, ALTERNATOR TEST, TROUBLESHOOTING OF BATTERIES PERFORMED, BATTERY REPLACEMENT.","[('VEHICLE DOES NOT START AFTER PARKING', 'ORG')]"
SLEEVES,LOOSE RETAINER,RUBBER SLEEVE,0.0,55.0," REKL  VEHICLE HAS MASSIVE LOSS OF POWER   REASON CHARGE AIR HOSE IS LOOSE   CORRECTION  ERROR MEMORY READ AND DELETED, NO ERRORS SAVED, TURBOCHARGER CHECKED, LOOSE INCHARGE AIR HOSE REATTACHED","[('VEHICLE', 'ORG')]"
SLEEVES,CRACKED,RUBBER SLEEVE,1.0,100.35, CLAIM  CUSTOMER INDICATES LOSS OF POWER AND FAULT LIGHT.  CAUSE  CRACK IN INTERCOLER PIPE.  SOLUTION  DIAGNOSIS IS CONNECTED AND THE FAULTS ARE READ AND DELETED. TUBE SYSTEM IS CHECKED AND CRACKED INTERCOOLER TUBE IS DETECTED. IT IS REPLACED AND FINALLY VERIFIED FOR CORRECT OPERATION.,"[('CAUSE  CRACK IN INTERCOLER PIPE', 'ORG'), ('SOLUTION', 'PERSON'), ('DIAGNOSIS', 'PERSON')]"
PAD WEAR SENSOR,SHORT CIRCUIT,BRAKEWEARINDIC.EL.,1.0,62.057471,COMPLAINT brake wear warning light illuminated CAUSE bad connection between ns rear wear sensor plug & chassis loom CORRECTION repair terminals at plug & fit new sensor,"[('COMPLAINT', 'ORG'), ('CAUSE', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('CORRECTION', 'PERSON'), ('plug & fit', 'ORG'), ('sensor', 'DEFECTIVE_PART')]"
BODY COMPUTER,MISFIRE,ELECTR. CONTR. UNIT,0.0,59.16,"COMPLAINT  Various updates performed.
Body computer updated. 
Electronic steering wheel updated CAUSE  Various updates performed.
Body computer updated. 
Electronic steering wheel updated CORRECTION  Various updates performed.
Body computer updated. 
Electronic steering wheel updated","[('COMPLAINT', 'ORG'), ('CAUSE', 'ORG')]"
SLEEVES,CRACKED,RUBBER SLEEVE,3.0,174.68842," COMPLAINT  ENGINE CHECK IS ON   CPRZ CRACKED INTERCOOLER HOSE   CORRECTION  FAILURE CHECK, TURBOCHARGER POWER SYSTEM CHECK, INTERCOOLER CABLE REPLACEMENT","[('COMPLAINT  ENGINE CHECK', 'ORG'), ('HOSE', 'PERSON'), ('CORRECTION', 'PERSON'), ('TURBOCHARGER POWER SYSTEM CHECK', 'ORG'), ('INTERCOOLER CABLE REPLACEMENT', 'ORG')]"
ECU 13-PIN SOCKET TRAILER,SHORT CIRCUIT,ELECTR. CONTR. UNIT,2.0,397.38, REKL  Check ALm error message   REASON Trailer control unit has internal defect   CORRECTION  Control unit renewed with cable,"[('CORRECTION  Control', 'ORG')]"
SENSOR,BREAK,SENSOR,2.0,206.92, DAMAGE TYPE  ABS fault warning light turns on when driving   CAUSE Faulty rear left and right ABS sensors detected   CORRECTION  ABS sensor replacement,"[('CORRECTION', 'PERSON'), ('sensor', 'DEFECTIVE_PART')]"
ENGINE DRIVE CONTR.UNIT,DEFECT,ECU-ENGINE,0.0,56.7, DAMAGE TYPE  UPDATES IN POI PHASE   CAUSE ICT - EPS - BCM UPDATE   CORRECTION  ICT - EPS - BCM UPDATE,"[('CAUSE', 'ORG'), ('ICT - EPS - BCM UPDATE', 'PRODUCT'), ('ICT', 'ORG')]"
BELT TENSIONER,LOOSE RETAINER,BELT TENSIONER,1.0,28.362106, COMPLAINT  AIR CONDITIONING BELT TENSIONER BEARING NOISES   CPRZ FAILURE INSPECTION. NOISE AIR CONDITIONING BELT ROLLER BEARING. EXCESSIVE PLAY  CORRECTION  REPLACING THE AIR CONDITIONING BELT ROLLER,"[('COMPLAINT', 'ORG'), ('NOISE', 'TYPE_OF_FAILURE'), ('CORRECTION', 'PERSON')]"
INTERIOR TEMP.SENSOR,DEFECT,SENSOR,1.0,78.93," COMPLAINT  HEATING SOMETIMES BLOWS COLD AIR AND VICE VERSA.  CAUSE  DEFECT   CORRECTION  DIAGNOSIS MADE. THE INDOOR TEMPERATURE SENSOR HAD FAULTED SEVERAL TIMES. SENSOR DEFECTIVE, REPLACE IT. REPLACE INDOOR TEMPERATURE SENSOR. DIAGNOSIS AIR CONDITIONING SYSTEM TEMP. SENSOR STEERING CAB REPL","[('COMPLAINT  HEATING SOMETIMES BLOWS COLD AIR', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART')]"
CYLINDER HEAD PLUGS,TOO LOOSE/FLEXIBLE,THREADED PLUG,54.0,856.946312,"COMPLAINT  COOLANT LEAKS FROM UNDER THE HEAD PLUG  CPRZ DEFECTIVE TOO LOOSE FIXING OF THE HEAD CHANNEL PLUG
THE PLUG WAS TIGHTENED AS RECOMMENDED, BUT NOT 
THIS HAD AN EFFECT, THE LEAK APPEARED AGAIN CORRECTION  REPLACING THE HEAD PLUG","[('COMPLAINT', 'ORG'), ('DEFECTIVE TOO LOOSE FIXING', 'ORG'), ('RECOMMENDED', 'ORG')]"
WINDOW REGULATOR,LOOSE RETAINER,ELECT.WIND.LIFT,0.0,59.5, REKL  RATTLING NOISE ON THE LEFT CABIN DOOR   REASON WINDOW REGULATOR LOOSE   CORRECTION  DOOR TRIM LEFT A+E. SCREWS ON THE WINDOW REGULATOR TIGHTENED,"[('NOISE', 'TYPE_OF_FAILURE'), ('DOOR', 'ORG')]"
CLUTCH SYS TANK AND PUMP,BROKEN AWAY,KIT-HYDRAULIC CYL,1.0,85.62,COMPLAIN  Bad clutch control function CAUSE  Loose clutch pedal kit  CORRECTION Clutch control replacement,"[('CAUSE  Loose', 'ORG'), ('kit  ', 'PERSON'), ('CORRECTION Clutch', 'ORG')]"
ENGINE OIL LEVEL SWITCH,SHORT CIRCUIT,SENSOR,1.0,42.76, CLAIM  OIL SENSOR  CAUSE  SHORT CIRCUIT   SOLUTION SENSOR SHORT ENGINE OIL LEVEL.,"[('SENSOR', 'DEFECTIVE_PART'), ('CIRCUIT', 'ORG'), ('SENSOR', 'DEFECTIVE_PART')]"
SLEEVES,DEFORMED,RUBBER SLEEVE,1.0,109.612631, COMPLAINT  HA ASU VERIFICATION FROM THE FRONT OF THE ENGINE   CPRZ DEFORMED HOSE FROM INTERCOOLER TO TURBINE THD 107322286   CORRECTION  REPLACEMENT WITH A NEW HOSE FROM THE INTERCOOLER TO THE TURBINE THD 107322286,"[('COMPLAINT  HA ASU', 'ORG'), ('107322286', 'DATE'), ('107322286', 'DATE')]"
